instance,count,sign,main_group,layer,frac_fb,frac_lat,frac_ff,VIC,cluster,size,r2
LT70_R,6,-1,CB input,2.790225870440448,0.31536227480200196,0.6805886016228041,0.004049123575193916,0.077786356,,78.45425829247688,-0.670818473972714
LT72_R,1,1,OL output,2.788431176515921,0.04973973395026027,0.5795257374204743,0.3707345286292655,0.07740935,6.0,47.23998725407311,-0.08657600972890678
LT73_R,2,-1,OL output,2.666766184210178,0.08163878163878163,0.6023219648219649,0.31603925353925355,0.085439555,8.0,53.76324291160967,-0.3904434342560865
LT74_R,3,-1,OL output,2.773962245150231,0.1339964891749561,0.2603861907548274,0.6056173200702165,0.08349315,9.0,112.54843139813839,-1.0
LT75_R,1,1,OL output,2.63049350221137,0.003134796238244514,0.5564263322884012,0.44043887147335425,0.1034958,8.0,68.32207200509967,-1.0
LT76_R,1,1,OL output,2.450228356629374,0.0,0.06968760727772057,0.9303123927222794,0.09712745,6.0,40.211934693407514,-1.0
LT77_R,3,-1,OL output,2.446204531392419,0.019072651586887073,0.5458982121954569,0.43502913621765615,0.10377488,8.0,53.00062114557309,-0.8937115866920202
LT78_R,4,-1,OL output,2.6009367708813342,0.020458155759168907,0.4564470269372634,0.5230948173035678,0.09776729,8.0,32.29773310199546,-0.40685696336673893
LT79_R,1,1,OL output,2.173135580074466,0.0007537417895983633,0.018951222138473132,0.9802950360719285,0.09897769,7.0,116.00965508482314,-1.0
LT80_R,2,1,OL output,2.573054301907077,0.04355625292414687,0.44579678788213106,0.510646959193722,0.11808321,9.0,26.513310984697906,0.1350408356540621
LT81_R,6,1,OL output,2.691890173497324,0.0018324805282328538,0.0898622656254806,0.9083052538462867,0.06086473,6.0,38.509755074744994,0.13535138438012262
LT82a_R,2,1,OL output,2.8219233178644094,0.013126726634866314,0.30047598343814963,0.686397289926984,0.096647084,9.0,80.41880074950186,-1.0
LT82b_R,1,1,OL output,2.752550386295633,0.02789629143419757,0.35083688874302593,0.6212668198227765,0.10612514,9.0,70.54054191698029,-0.6958021039950595
LT83_R,1,1,OL output,2.6339820620115195,0.015502540694169321,0.18542761174748085,0.7990698475583499,0.16382363,9.0,144.69395326428207,-1.0
LT84_R,1,1,OL output,2.2162447947093,0.0018165304268846503,0.2836815016651529,0.7145019679079625,0.091450825,7.0,24.786090478721874,-0.2420235922673637
LT85_R,1,1,OL output,2.866155966922739,0.12304075235109718,0.3103448275862069,0.5666144200626959,0.07680411,8.0,64.24853835303688,-1.0
LT86_R,1,1,OL output,2.8314152130786723,0.01041337961502051,0.21442095298201325,0.7751656674029662,0.082087874,8.0,42.461031028974304,-0.08788281306252221
LT87_R,1,1,OL output,2.4830348397203386,0.001049317943336831,0.022989602213106936,0.9759610798435562,0.10575438,6.0,101.26773470493819,-1.0
LT88_R,1,-1,OL internal,2.2067392554919723,0.14120029455081,0.850699558173785,0.008100147275405006,0.10107463,,75.22678753138634,-1.0
Lai_R,34,-1,OL internal,2.4775275548206963,1.0,0.0,0.0,0.123748615,,6.144158536210936,0.44151449893682776
Lat1_R,4,0,CB input,2.209394357751189,0.17277386290839206,0.6617809096732863,0.16544522741832157,0.06765132,,174.06007293290125,-0.25089464698110453
Lat2_R,2,0,CB input,2.0710453407659104,0.09090909090909091,0.5551948051948052,0.3538961038961039,0.092076525,,117.72889994897785,-0.1806811937275573
Lat3_R,4,0,OL internal,2.3498710716264704,0.13168528642738292,0.8157832184454481,0.052531495127169,0.081131235,,102.70651335542121,0.06216645753094652
Lat4_R,1,0,OL internal,2.7346304678341564,0.5,0.4,0.1,0.09690377,,45.17380314087149,0.350686827927982
Lat5_R,1,0,CB input,2.463653165033567,0.024390243902439025,0.926829268292683,0.04878048780487805,0.071534656,,40.999316206133756,0.14281599782380794
Lawf1_R,184,1,OL internal,1.7693259550131444,0.6166639345412848,0.38333606545871524,0.0,0.19140916,,12.608067668486223,0.6417496502650912
Lawf2_R,188,1,OL internal,1.8848729529284545,0.5,0.5,0.0,0.11257306,,5.352556142900037,0.6098996122377989
Li11a_R,2,-1,OL internal,2.659426966885346,0.20861782285789746,0.7912267286732699,0.000155448468832582,0.18489578,,137.80750013992457,-1.0
Li11b_R,2,-1,OL internal,2.5667868139293115,0.3149161964060079,0.6850838035939921,0.0,0.18054473,,149.7500328102507,-1.0
Li12_R,2,-1,OL internal,2.3294543120410065,0.19569762882777014,0.7985822028001048,0.005720168372125032,0.13173631,,114.8087060587548,-1.0
Li13_R,33,-1,OL internal,2.451538749073625,0.25518639793481257,0.7415303427747943,0.003283259290393161,0.09751438,,17.585969121796023,0.4190511115074783
